method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
SAA,0.0,33,log_linear,2.0,mad,50,0.2839504406487435,54.77579016419693,257.0805805632122
SAA,0.0,44,log_linear,2.0,mad,50,0.2761333487031433,54.34970351549448,245.7663625637045
SAA,0.0,55,log_linear,2.0,mad,50,0.279990990704247,68.78491753027635,249.31581807065456
WDRO,0.0,11,log_linear,2.0,mad,50,0.1429933124457305,641.4013388899436,657.0052474811501
WDRO,0.0,22,log_linear,2.0,mad,50,0.1368285686290032,1114.8532433211178,743.9368632610991
WDRO,0.0,33,log_linear,2.0,mad,50,0.1368706150320061,630.4823673525099,1683.298404207249
WDRO,0.0,44,log_linear,2.0,mad,50,0.1370576738303827,144.5043312000556,917.6478223740198
WDRO,0.0,55,log_linear,2.0,mad,50,0.135785316662881,574.27080387725,610.3845493544505
FDFL-0.1,0.0,11,mlp128,2.0,mad,50,0.1331985344617433,35.76146760717369,143.24655442492266
FDFL-0.1,1.0,11,mlp128,2.0,mad,50,0.1343959258455163,25.93470226221495,150.32028516095914
FDFL-0.1,0.0,22,mlp128,2.0,mad,50,0.128460506971251,26.7977152418654,141.1413769003919
FDFL-0.1,1.0,22,mlp128,2.0,mad,50,0.1295956580288492,24.61649702559973,141.76255619702314
FDFL-0.1,0.0,33,mlp128,2.0,mad,50,0.1286509401101598,29.02493678803192,137.55529936509402
FDFL-0.1,1.0,33,mlp128,2.0,mad,50,0.1275413475117407,25.87370065019301,136.95746835304655
FDFL-0.1,0.0,44,mlp128,2.0,mad,50,0.1274908687502273,26.366342392781952,133.93854522845928
FDFL-0.1,1.0,44,mlp128,2.0,mad,50,0.1270175836534043,16.074955807255098,143.62443679251774
FDFL-0.1,0.0,55,mlp128,2.0,mad,50,0.1271985050609662,40.582550625236166,136.40767376592805
FDFL-0.1,1.0,55,mlp128,2.0,mad,50,0.1283032520206471,30.820108103363005,129.07126978343928
FDFL-0.5,0.0,11,mlp128,2.0,mad,50,0.1318362833656864,29.53113663437288,130.5468986123616
FDFL-0.5,1.0,11,mlp128,2.0,mad,50,0.1322772417466578,28.48980358453712,132.2274457815681
FDFL-0.5,0.0,22,mlp128,2.0,mad,50,0.1263899848625414,24.989860455492995,126.84670773086042
FDFL-0.5,1.0,22,mlp128,2.0,mad,50,0.128465794665448,21.565266624430024,125.32138961093428
FDFL-0.5,0.0,33,mlp128,2.0,mad,50,0.1271400246249547,25.34973925188609,130.321252059339
FDFL-0.5,1.0,33,mlp128,2.0,mad,50,0.1275288238514082,22.84103151908037,128.3074748459138
FDFL-0.5,0.0,44,mlp128,2.0,mad,50,0.125911509268574,22.726654561572204,126.08629129434355
FDFL-0.5,1.0,44,mlp128,2.0,mad,50,0.127212323695877,21.727119706960043,124.62695589192386
FDFL-0.5,0.0,55,mlp128,2.0,mad,50,0.1260211804253008,32.12083973696693,126.71232854835048
FDFL-0.5,1.0,55,mlp128,2.0,mad,50,0.1290299565367076,29.683792393551663,125.76520577563632
FDFL-Scal,0.0,11,mlp128,2.0,mad,50,0.1327650457339067,31.442944508236074,131.1027720942294
FDFL-Scal,1.0,11,mlp128,2.0,mad,50,0.1338015768064763,23.8014212458442,125.64137782093616
FDFL-Scal,0.0,22,mlp128,2.0,mad,50,0.1282550369678853,28.31362117280208,133.13392738822992
